-0.4, -0, -0, -0, -0, -0.2, 1.08028
-0.4, -0, -0, -0, -0, -0.19, 1.08927
-0.4, -0, -0, -0, -0, -0.18, 1.08343
-0.4, -0, -0, -0, -0, -0.17, 1.06268
-0.4, -0, -0, -0, -0, -0.16, 1.04581
-0.4, -0, -0, -0, -0, -0.15, 1.02474
-0.4, -0, -0, -0, -0, -0.14, 1.0193
-0.4, -0, -0, -0, -0, -0.13, 1.01966
-0.4, -0, -0, -0, -0, -0.12, 1.01136
-0.4, -0, -0, -0, -0, -0.11, 0.998978
-0.4, -0, -0, -0, -0, -0.1, 1.00594
-0.4, -0, -0, -0, -0, -0.09, 1.02221
-0.4, -0, -0, -0, -0, -0.08, 1.03282
-0.4, -0, -0, -0, -0, -0.07, 1.01801
-0.4, -0, -0, -0, -0, -0.06, 0.991285
-0.4, -0, -0, -0, -0, -0.05, 0.98201
-0.4, -0, -0, -0, -0, -0.04, 0.979261
-0.4, -0, -0, -0, -0, -0.03, 0.950793
-0.4, -0, -0, -0, -0, -0.02, 0.938665
-0.4, -0, -0, -0, -0, -0.01, 0.91278
-0.4, -0, -0, -0, -0, 3.1225e-17, 0.903964
-0.4, -0, -0, -0, -0, 0.01, 0.893816
-0.4, -0, -0, -0, -0, 0.02, 0.891637
-0.4, -0, -0, -0, -0, 0.03, 0.857527
-0.4, -0, -0, -0, -0, 0.04, 0.813503
-0.4, -0, -0, -0, -0, 0.05, 0.797443
-0.4, -0, -0, -0, -0, 0.06, 0.787642
-0.4, -0, -0, -0, -0, 0.07, 0.806925
-0.4, -0, -0, -0, -0, 0.08, 0.844858
-0.4, -0, -0, -0, -0, 0.09, 0.883719
-0.4, -0, -0, -0, -0, 0.1, 0.894541
-0.4, -0, -0, -0, -0, 0.11, 0.885177
-0.4, -0, -0, -0, -0, 0.12, 0.882744
-0.4, -0, -0, -0, -0, 0.13, 0.884282
-0.4, -0, -0, -0, -0, 0.14, 0.895181
-0.4, -0, -0, -0, -0, 0.15, 0.909432
-0.4, -0, -0, -0, -0, 0.16, 0.926776
-0.4, -0, -0, -0, -0, 0.17, 0.942988
-0.4, -0, -0, -0, -0, 0.18, 0.962645
-0.4, -0, -0, -0, -0, 0.19, 0.992478
-0.4, -0, -0, -0, -0, 0.2, 1.02197
-0.36, -0, -0, -0, -0, -0.2, 1.08803
-0.36, -0, -0, -0, -0, -0.19, 1.08865
-0.36, -0, -0, -0, -0, -0.18, 1.08523
-0.36, -0, -0, -0, -0, -0.17, 1.06728
-0.36, -0, -0, -0, -0, -0.16, 1.04832
-0.36, -0, -0, -0, -0, -0.15, 1.03666
-0.36, -0, -0, -0, -0, -0.14, 1.01896
-0.36, -0, -0, -0, -0, -0.13, 1.0064
-0.36, -0, -0, -0, -0, -0.12, 1.00343
-0.36, -0, -0, -0, -0, -0.11, 0.996559
-0.36, -0, -0, -0, -0, -0.1, 0.993772
-0.36, -0, -0, -0, -0, -0.09, 1.00271
-0.36, -0, -0, -0, -0, -0.08, 1.00539
-0.36, -0, -0, -0, -0, -0.07, 0.998547
-0.36, -0, -0, -0, -0, -0.06, 0.975469
-0.36, -0, -0, -0, -0, -0.05, 0.945617
-0.36, -0, -0, -0, -0, -0.04, 0.939648
-0.36, -0, -0, -0, -0, -0.03, 0.941321
-0.36, -0, -0, -0, -0, -0.02, 0.908206
-0.36, -0, -0, -0, -0, -0.01, 0.876948
-0.36, -0, -0, -0, -0, 3.1225e-17, 0.85247
-0.36, -0, -0, -0, -0, 0.01, 0.838326
-0.36, -0, -0, -0, -0, 0.02, 0.839847
-0.36, -0, -0, -0, -0, 0.03, 0.836957
-0.36, -0, -0, -0, -0, 0.04, 0.850104
-0.36, -0, -0, -0, -0, 0.05, 0.8215
-0.36, -0, -0, -0, -0, 0.06, 0.801734
-0.36, -0, -0, -0, -0, 0.07, 0.826471
-0.36, -0, -0, -0, -0, 0.08, 0.85829
-0.36, -0, -0, -0, -0, 0.09, 0.874753
-0.36, -0, -0, -0, -0, 0.1, 0.876516
-0.36, -0, -0, -0, -0, 0.11, 0.864821
-0.36, -0, -0, -0, -0, 0.12, 0.865975
-0.36, -0, -0, -0, -0, 0.13, 0.872643
-0.36, -0, -0, -0, -0, 0.14, 0.885557
-0.36, -0, -0, -0, -0, 0.15, 0.906694
-0.36, -0, -0, -0, -0, 0.16, 0.928575
-0.36, -0, -0, -0, -0, 0.17, 0.95598
-0.36, -0, -0, -0, -0, 0.18, 0.972396
-0.36, -0, -0, -0, -0, 0.19, 0.996711
